index,node_id,type
399,cs_10298,Paper
400,cs_10299,Paper
401,cs_103,Paper
402,cs_1030,Paper
403,cs_10300,Paper
404,cs_10301,Paper
405,cs_10302,Paper
406,cs_10303,Paper
407,cs_10304,Paper
408,cs_10305,Paper
409,cs_10306,Paper
410,cs_10307,Paper
411,cs_10308,Paper
412,cs_10309,Paper
413,cs_1031,Paper
414,cs_10310,Paper
415,cs_10311,Paper
416,cs_10312,Paper
417,cs_10313,Paper
418,cs_10314,Paper
419,cs_10315,Paper
420,cs_10316,Paper
421,cs_10317,Paper
422,cs_10318,Paper
423,cs_10319,Paper
424,cs_1032,Paper
425,cs_10320,Paper
426,cs_10321,Paper
427,cs_10322,Paper
428,cs_10323,Paper
429,cs_10324,Paper
430,cs_10325,Paper
431,cs_10326,Paper
432,cs_10327,Paper
433,cs_10328,Paper
434,cs_10329,Paper
435,cs_1033,Paper
436,cs_10330,Paper
437,cs_10331,Paper
438,cs_10332,Paper
439,cs_10333,Paper
440,cs_10334,Paper
441,cs_10335,Paper
442,cs_10336,Paper
443,cs_10337,Paper
444,cs_10338,Paper
445,cs_10339,Paper
446,cs_1034,Paper
447,cs_10340,Paper
448,cs_10341,Paper
449,cs_10342,Paper
450,cs_10343,Paper
451,cs_10344,Paper
452,cs_10345,Paper
453,cs_10346,Paper
454,cs_10347,Paper
455,cs_10348,Paper
456,cs_10349,Paper
457,cs_1035,Paper
458,cs_10350,Paper
459,cs_10351,Paper
460,cs_10352,Paper
461,cs_10353,Paper
462,cs_10354,Paper
463,cs_10355,Paper
464,cs_10356,Paper
465,cs_10357,Paper
466,cs_10358,Paper
467,cs_10359,Paper
468,cs_1036,Paper
469,cs_10360,Paper
470,cs_10361,Paper
471,cs_10362,Paper
472,cs_10363,Paper
473,cs_10364,Paper
474,cs_10365,Paper
475,cs_10366,Paper
476,cs_10367,Paper
477,cs_10368,Paper
478,cs_10369,Paper
479,cs_1037,Paper
480,cs_10370,Paper
481,cs_10371,Paper
482,cs_10372,Paper
483,cs_10373,Paper
484,cs_10374,Paper
485,cs_10375,Paper
486,cs_10376,Paper
487,cs_10377,Paper
488,cs_10378,Paper
489,cs_10379,Paper
490,cs_1038,Paper
491,cs_10380,Paper
492,cs_10381,Paper
493,cs_10382,Paper
494,cs_10383,Paper
495,cs_10384,Paper
496,cs_10385,Paper
497,cs_10386,Paper
498,cs_10387,Paper
499,cs_10388,Paper
500,cs_10389,Paper
501,cs_1039,Paper
502,cs_10390,Paper
503,cs_10391,Paper
504,cs_10392,Paper
505,cs_10393,Paper
506,cs_10394,Paper
507,cs_10395,Paper
508,cs_10396,Paper
509,cs_10397,Paper
510,cs_10398,Paper
511,cs_10399,Paper
512,cs_104,Paper
513,cs_1040,Paper
514,cs_10400,Paper
515,cs_10401,Paper
516,cs_10402,Paper
517,cs_10403,Paper
518,cs_10404,Paper
519,cs_10405,Paper
520,cs_10406,Paper
521,cs_10407,Paper
522,cs_10408,Paper
523,cs_10409,Paper
524,cs_1041,Paper
525,cs_10410,Paper
526,cs_10411,Paper
527,cs_10412,Paper
528,cs_10413,Paper
529,cs_10414,Paper
530,cs_10415,Paper
531,cs_10416,Paper
532,cs_10417,Paper
533,cs_10418,Paper
